SAO PAULO,2872831.22726095,20470651.0174052,14.03
RIO DE JANEIRO,1574141.82062328,20470651.0174052,7.69
BELO HORIZONTE,506191.710497737,20470651.0174052,2.47
BRASILIA,432386.649520397,20470651.0174052,2.11
CURITIBA,331850.400116205,20470651.0174052,1.62
