customer_city,revenue


SAO PAULO,2872831.22726095
RIO DE JANEIRO,1574141.82062328
BELO HORIZONTE,506191.710497737
BRASILIA,432386.649520397
CURITIBA,331850.400116205
PORTO ALEGRE,316340.020637035
SALVADOR,290360.020019293
CAMPINAS,270718.10966444
GOIANIA,214087.130880833
GUARULHOS,206881.610175133
